num,energy,dist,dist,dist
190,-75.664406,1,2.641853834,1.933356067
191,-75.703927,1,2.217643682,1.393832666
192,-75.29558,1,3.049323743,2.471774118
193,-75.684007,1,2.289165353,1.302056072
194,-75.135055,1,3.508684522,2.744895093
195,-75.703038,1,2.299745727,1.729700092
196,-75.647341,1,2.801731666,1.957362595
197,-75.607382,1,3.550866931,3.052739091
198,-75.659148,1,2.823753992,2.975036909
199,-75.769854,1,1.633079453,0.827288643
200,-75.307629,1,0.526566325,1.060158523
201,-75.708242,1,2.281076833,1.807728828
202,9999,1,0.863488797,0.136517039
203,-75.410883,1,3.254028675,3.009121901
204,-75.750317,1,2.084200427,2.144462502
205,-75.648678,1,2.900734119,2.539583122
206,-75.701659,1,0.782774696,0.600634851
207,-75.664618,1,2.761831957,2.77017107
208,-75.595462,1,3.843871577,3.225332029
209,-75.188811,1,3.950469026,3.257835404
210,-75.691808,1,2.395598407,1.804319187
211,-75.782915,1,1.718273723,1.263484305
212,-75.630685,1,2.909210275,1.918593867
213,-75.632264,1,3.144240446,2.953729166
214,-75.684316,1,2.576268411,2.710253296
215,9999,1,0.657071511,0.441865331
216,-75.751317,1,2.088039214,2.274582106
217,-75.707089,1,2.188782735,1.361395557
218,-75.706383,1,2.100394768,1.112378613
219,-75.675152,1,2.638187698,2.460154127
220,-75.616795,1,3.340983847,2.754933586
221,-75.110678,1,3.506515014,3.064230334
222,-75.078187,1,3.788261302,3.088449723
223,-74.97691,1,3.694795432,3.063714296
224,-75.613497,1,3.414838137,2.881374238
225,-75.687188,1,2.354615302,1.486683968
226,9999,1,1.319684603,0.440455959
227,-75.678129,1,2.464677249,1.652498092
228,9999,1,0.714036898,0.417466994
229,-75.808812,1,1.382441037,0.822090762
230,-75.120414,1,3.315671418,2.518687545
231,-75.635661,1,3.09653452,2.918260789
232,9999,1,0.821881163,0.178198334
233,-75.640328,1,3.037639437,2.911703857
234,-75.793383,1,1.844198008,1.979938457
235,-75.610625,1,3.463398175,2.873617741
236,-75.766151,1,1.829359805,1.348033121
237,-75.654902,1,2.705452526,1.855144568
238,-75.72862,1,2.203740583,2.086355329
239,-75.641225,1,3.028970635,2.94073343
240,-75.260532,1,3.388021013,3.012926216
241,-75.636267,1,3.093960392,2.977929971
242,9999,1,0.276456578,0.725009131
243,-75.807093,1,1.479049075,0.953410807
244,-75.722352,1,2.273888173,2.369925194
245,-75.742227,1,1.759764069,0.76364493
246,-75.645655,1,2.964172999,2.792957137
247,-75.801173,1,1.814833129,2.062433826
248,-75.634277,1,2.937322048,2.008062452
249,-75.741401,1,1.724149872,0.724734972
250,-75.636001,1,2.93403058,2.040196913
251,-75.649562,1,2.748557161,1.850590303
252,-75.627271,1,3.137541783,2.452688819
253,-75.696346,1,2.165007408,1.170467888
254,-75.634367,1,3.113628374,2.922979585
255,-75.663461,1,2.777618596,2.919021593
256,-75.629988,1,3.006257138,2.081546536
257,-75.638637,1,2.753146326,1.754837512
258,-75.829743,1,1.318813411,0.889865615
259,-75.796926,1,1.646577551,1.25272568
260,-75.658438,1,2.831544659,2.953775407
261,-75.76933,1,1.768528159,1.192622258
262,-75.63613,1,2.95842841,2.123885745
263,-75.358085,1,3.81774791,3.109209401
264,-75.649052,1,2.820519186,2.102564263
265,-75.408168,1,3.161781407,2.466465014
266,-75.610654,1,3.429427131,2.687118242
267,-75.599676,1,3.693336031,2.946956573
268,-75.704211,1,2.370086666,2.136872669
269,-75.262896,1,3.152586744,2.497573057
270,-75.421481,1,3.198376543,2.666863422
271,-75.66411,1,2.678626137,2.10267591
