num,energy,
423,-0.977694,1.610115033
424,-0.94902,1.781322383
425,-0.937922,1.85224112
426,-0.863649,2.4334907
427,-0.805533,3.15869314
428,-0.943575,1.815749604
429,-0.918818,1.981896853
430,-0.832737,2.768838007
431,-0.862942,2.44030773
432,-0.899831,2.122272408
433,-0.846761,2.606299339
434,-0.922331,1.95725431
435,-0.810116,3.083813874
436,-0.895516,2.156077207
437,-0.863906,2.431029416
438,-0.860864,2.460532663
439,-1.04458,1.255918804
440,-1.104286,0.946267608
441,-0.963952,1.690202572
442,-1.009396,1.436343845
443,-0.922548,1.955748964
444,-0.977175,1.613077579
445,-0.953855,1.751308755
446,-0.904378,2.087459801
447,-0.907047,2.06739444
448,-0.880271,2.282119085
449,-0.806364,3.144775858
450,-1.08373,0.537998825
451,-0.859517,2.473802205
452,-0.842315,2.65570485
453,-0.821467,2.915963814
454,-1.09732,0.986165924
455,-0.912172,2.029588211
456,-1.09281,0.555373544
457,-0.839977,2.682443349
458,-0.800808,3.241148674
459,-0.834324,2.749413064
460,-0.897215,2.142677125
461,-0.849628,2.575375342
462,-0.862664,2.442995026
463,-1.124119,0.794946338
464,-0.875133,2.327209984
465,-0.933742,1.879739765
466,-1.024633,1.35703036
467,-0.785086,3.567341425
468,-0.939024,1.845063726
469,-0.941252,1.830646267
470,-0.908541,2.056281657
471,-0.902687,2.100312655
472,-1.053437,1.211598453
473,-0.85575,2.511607688
474,-0.859918,2.469840099
475,-1.029888,1.330149147
476,-0.790978,3.433931858
477,-0.925915,1.932510674
478,-0.965143,1.683127394
479,-0.909619,2.048305224
480,-1.032288,1.317935103
481,-1.045182,1.252896169
482,-0.894967,2.160433612
483,-0.946857,1.794914055
484,-1.000804,1.482141656
485,-0.825211,2.865183867
486,-0.916489,1.998441166
487,-0.90129,2.111018951
488,-1.1173,0.859865528
489,-0.923874,1.946559585
490,-0.843093,2.646930485
491,-1.061763,1.17000872
492,-0.922562,1.955650502
493,-0.927908,1.918911218
494,-0.832555,2.771085952
495,-1.075397,1.101464191
496,-0.909414,2.049817032
497,-0.830579,2.795743613
498,-0.910381,2.042695584
499,-1.084485,1.054854378
500,-0.837033,2.716893401
501,-0.870323,2.370751208
502,-0.940402,1.836137248
503,-1.047265,1.242461064
504,-0.91902,1.98046817
505,-0.885312,2.239223923
506,-0.932354,1.888976842
507,-0.824159,2.879242925
508,-0.77545,3.827345526
509,-1.050643,1.225558106
510,-0.822456,2.902346516
511,-0.929816,1.905994819
512,-0.874822,2.329986992
513,-0.852841,2.5415337
514,-0.985158,1.56793342
515,-0.878211,2.30002976
516,-1.125861,0.76771011
517,-0.870546,2.368706415
